"Site","Class","max_biomass"
"AUCA","Rural",0.117407657724756
"RIST","Rural",0.0589905570094054
"PRCR","Rural",0.0609244401721993
"DEMI","Suburban",0.0831991642407442
"BOWA","Suburban",0.091292472053618
"BIVA","Suburban",0.0820260998260608
"COFR","Urban",0.0511186467867481
"JOMA","Urban",0.0735156048551417
"BACA","Urban",0.0775143286860007
