"Site","Class","tenth","fifty","ninty"
"AUCA","Rural",78,233,328
"RIST","Rural",98,236,327
"PRCR","Rural",35,161,297
"DEMI","Suburban",18,144,265
"BOWA","Suburban",31,161,313
"BIVA","Suburban",152,217,273
"COFR","Urban",110,190,269
"JOMA","Urban",109,162,251
"BACA","Urban",26,141,305
