Date,Site,Trap,Mass,Notes,QA/QC
3/3/2019,AUCA,1,0.002,,
3/3/2019,AUCA,2,0,,
3/3/2019,AUCA,4,0.057,,
3/3/2019,AUCA,5,0.002,,
3/3/2019,AUCA,6,0.011,,
3/3/2019,BACA,1,0.002,resembles snail poop; may not be frass,pass
3/3/2019,BACA,2,0.011,,
3/3/2019,BACA,3,0.002,,
3/3/2019,BACA,4,0.02,,
3/3/2019,BACA,5,0.007,,
3/3/2019,BACA,6,0.084,,
3/3/2019,BIVA,1,0.008,,
3/3/2019,BIVA,2,0,looks like dirt and sand rather than frass,"fall, removed mass"
3/3/2019,BIVA,3,0.01,,
3/3/2019,BIVA,4,0.011,,
3/3/2019,BIVA,5,0.005,,
3/3/2019,BIVA,6,0.007,,
3/3/2019,BOWA,1,0.003,,
3/3/2019,BOWA,2,0.004,,
3/3/2019,BOWA,3,0.007,,
3/3/2019,BOWA,5,0.005,,
3/3/2019,BOWA,6,0.008,,
3/3/2019,COFR,1,0.007,,
3/3/2019,COFR,2,0.01,,
3/3/2019,COFR,3,0.002,,
3/3/2019,COFR,4,0.001,,
3/3/2019,COFR,5,0.003,,
3/3/2019,COFR,6,0.001,,
3/3/2019,JOMA,1,0.001,,
3/3/2019,JOMA,2,0,,
3/3/2019,JOMA,3,0.003,,
3/3/2019,JOMA,4,0.001,,
3/3/2019,JOMA,5,0.005,,
3/3/2019,JOMA,6,0,,
3/10/2019,AUCA,1,0,,
3/10/2019,AUCA,2,0.005,,
3/10/2019,AUCA,3,0,,
3/10/2019,AUCA,4,0.006,,
3/10/2019,AUCA,5,0,,
3/10/2019,AUCA,6,0.03,,
3/10/2019,AUCA,2,0,,
3/10/2019,BACA,1,0.001,,
3/10/2019,BACA,3,0.001,,
3/10/2019,BACA,5,0.003,,
3/10/2019,BACA,6,0.008,,
3/10/2019,BIVA,1,0.006,,
3/10/2019,BIVA,2,0.007,,
3/10/2019,BIVA,3,0.001,,
3/10/2019,BIVA,4,0.005,,
3/10/2019,BOWA,1,0.01,,
3/10/2019,BOWA,2,0.024,,
3/10/2019,BOWA,3,0.004,,
3/10/2019,BOWA,4,0.019,,
3/10/2019,BOWA,5,0.023,,
3/10/2019,BOWA,6,0.032,,
3/10/2019,COFR,1,0.018,,
3/10/2019,COFR,2,0.054,,
3/10/2019,COFR,3,0.003,,
3/10/2019,COFR,4,0.012,,
3/10/2019,COFR,5,0.008,,
3/10/2019,COFR,6,0.006,,
3/10/2019,JOMA,1,0.013,,
3/10/2019,JOMA,2,0.006,,
3/10/2019,JOMA,3,0.011,,
3/10/2019,JOMA,4,0.008,,
3/10/2019,JOMA,5,0.02,,
3/10/2019,JOMA,6,0.005,,
3/10/2019,PRCR,1,0.007,,
3/10/2019,PRCR,2,0.034,,
3/10/2019,PRCR,4,0.016,,
3/10/2019,PRCR,5,0.001,,
3/10/2019,PRCR,6,0.006,,
3/10/2019,RIST,2,0.009,,
3/10/2019,RIST,4,0.011,,
3/10/2019,RIST,5,0.013,,
3/10/2019,RIST,6,0.027,,
3/10/2019,RIST,1,0,,
3/10/2019,RIST,3,0,,
3/16/2019,AUCA,1,0.01,,
3/16/2019,AUCA,2,0.001,,
3/16/2019,AUCA,3,0.013,,
3/16/2019,AUCA,4,0.007,,
3/16/2019,AUCA,5,0.023,,
3/16/2019,AUCA,6,0.151,,
3/18/2019,BACA,3,0.024,contains poop that may not be frass,removed one piece; changed mass
3/18/2019,BACA,4,0.055,,
3/18/2019,BACA,5,0.004,,
3/18/2019,BACA,6,0.142,,
3/16/2019,BIVA,1,0.014,,
3/16/2019,BIVA,2,0.011,,
3/16/2019,BIVA,3,0.014,,
3/16/2019,BIVA,4,0.011,,
3/16/2019,BIVA,5,0.034,,
3/16/2019,BIVA,6,0.018,,
3/16/2019,BOWA,1,0.068,,
3/16/2019,BOWA,2,0.0136,,
3/16/2019,BOWA,3,0.098,,
3/16/2019,BOWA,4,0.008,,
3/16/2019,BOWA,5,0.083,,
3/16/2019,BOWA,6,0.049,,
3/16/2019,COFR,1,0.014,,
3/16/2019,COFR,2,0.025,,
3/16/2019,COFR,3,0.012,,
3/16/2019,COFR,4,0.115,,
3/16/2019,COFR,5,0.001,,
3/16/2019,COFR,6,0.061,,
3/16/2019,JOMA,1,0.035,,
3/16/2019,JOMA,2,0.162,,
3/16/2019,JOMA,3,0.037,,
3/16/2019,JOMA,4,0.067,,
3/16/2019,JOMA,5,0.078,,
3/16/2019,JOMA,6,0.026,,
3/16/2019,PRCR,1,0.016,,
3/16/2019,PRCR,2,0.021,,
3/16/2019,PRCR,3,0.007,,
3/16/2019,PRCR,4,0.04,,
3/16/2019,PRCR,5,0.01,,
3/16/2019,PRCR,6,0.047,,
3/16/2019,RIST,1,0,,
3/16/2019,RIST,2,0.016,,
3/16/2019,RIST,3,0.007,,
3/16/2019,RIST,4,0.07,,
3/16/2019,RIST,5,0.009,,
3/16/2019,RIST,6,0,,
3/24/2019,AUCA,1,0.02,,
3/24/2019,AUCA,3,0.004,,
3/24/2019,AUCA,4,0,,
3/24/2019,AUCA,5,0.044,,
3/24/2019,AUCA,6,0.026,,
3/24/2019,BACA,1,0.007,,
3/24/2019,BACA,2,0.02,,
3/24/2019,BACA,3,0.027,,
3/24/2019,BACA,4,0.129,,
3/24/2019,BACA,5,0.015,,
3/24/2019,BACA,6,0.037,,
3/24/2019,BIVA,1,0.09,,
3/24/2019,BIVA,2,0.006,,
3/24/2019,BIVA,3,0.049,,
3/24/2019,BIVA,4,0.018,,
3/24/2019,BIVA,5,0.041,,
3/24/2019,BIVA,6,0.023,,
3/24/2019,BOWA,1,0.068,,
3/24/2019,BOWA,2,0.334,,
3/24/2019,BOWA,3,0.047,,
3/24/2019,BOWA,4,0.062,,
3/24/2019,BOWA,5,0.143,,
3/24/2019,BOWA,6,0.072,,
3/24/2019,COFR,1,0.031,,
3/24/2019,COFR,2,0.008,,
3/24/2019,COFR,3,0.035,,
3/24/2019,COFR,4,0.094,,
3/24/2019,COFR,5,0.005,,
3/24/2019,COFR,6,0.023,,
3/24/2019,DEMI,1,0.002,,
3/24/2019,DEMI,2,0.056,,
3/24/2019,DEMI,3,0.017,,
3/24/2019,DEMI,4,0.07,,
3/24/2019,DEMI,5,0.063,,
3/24/2019,DEMI,6,0.052,,
3/24/2019,JOMA,2,0.129,,
3/24/2019,JOMA,3,0.047,,
3/24/2019,JOMA,4,0.17,,
3/24/2019,JOMA,5,0.019,,
3/24/2019,JOMA,6,0.034,,
3/24/2019,PRCR,1,0.028,,
3/24/2019,PRCR,2,0.04,,
3/24/2019,PRCR,3,0.009,contains poop that may not be frass,pass
3/24/2019,PRCR,4,0.023,,
3/24/2019,PRCR,5,0.04,,
3/24/2019,PRCR,6,0.04,,
3/24/2019,RIST,2,0.031,,
3/24/2019,RIST,3,0.002,,
3/24/2019,RIST,4,0.13,,
3/24/2019,RIST,5,0.008,,
3/24/2019,RIST,6,0.004,,
3/31/2019,AUCA,1,0.022,,
3/31/2019,AUCA,2,0.012,,
3/31/2019,AUCA,3,0.005,,
3/31/2019,AUCA,4,0.013,,
3/31/2019,AUCA,5,0.035,,
3/31/2019,AUCA,6,0.097,,
3/31/2019,BACA,1,0.01,,
3/31/2019,BACA,2,0.053,,
3/31/2019,BACA,3,0.148,,
3/31/2019,BACA,4,0.203,,
3/31/2019,BACA,5,0.017,,
3/31/2019,BACA,6,0.052,,
3/31/2019,BIVA,1,0.123,,
3/31/2019,BIVA,2,0.019,,
3/31/2019,BIVA,3,0.114,,
3/31/2019,BIVA,4,0.044,,
3/31/2019,BIVA,5,0.078,,
3/31/2019,BIVA,6,0.032,,
3/31/2019,BOWA,1,0.234,,
3/31/2019,BOWA,2,0.37,,
3/31/2019,BOWA,3,0.037,,
3/31/2019,BOWA,4,0.193,,
3/31/2019,BOWA,5,0.054,,
3/31/2019,BOWA,6,0.051,,
3/31/2019,COFR,1,0.085,,
3/31/2019,COFR,2,0.006,,
3/31/2019,COFR,3,0.031,,
3/31/2019,COFR,5,0,,
3/31/2019,COFR,4,0.092,,
3/31/2019,COFR,6,0.032,,
3/31/2019,DEMI,1,0.009,,
3/31/2019,DEMI,2,0.05,,
3/31/2019,DEMI,3,0.02,,
3/31/2019,DEMI,4,0.064,,
3/31/2019,DEMI,5,0.159,,
3/31/2019,DEMI,6,0.062,,
3/31/2019,JOMA,1,0.046,,
3/31/2019,JOMA,2,0.166,,
3/31/2019,JOMA,3,0.126,,
3/31/2019,JOMA,4,0.14,,
3/31/2019,JOMA,5,0.054,,
3/31/2019,JOMA,6,0.075,,
3/31/2019,PRCR,1,0.069,,
3/31/2019,PRCR,2,0.027,,
3/31/2019,PRCR,3,0.001,,
3/31/2019,PRCR,4,0.035,,
3/31/2019,PRCR,5,0.042,,
3/31/2019,PRCR,6,0.081,,
3/31/2019,RIST,1,0.002,,
3/31/2019,RIST,2,0.054,,
3/31/2019,RIST,3,0.036,,
3/31/2019,RIST,4,0.014,,
3/31/2019,RIST,5,0.023,,
3/31/2019,RIST,6,0.005,,
4/7/2019,AUCA,1,0.04,,
4/7/2019,AUCA,2,0.03,,
4/7/2019,AUCA,3,0.019,,
4/7/2019,AUCA,4,0.076,,
4/7/2019,AUCA,5,0.035,,
4/7/2019,AUCA,6,0.153,,
4/7/2019,BACA,1,0.089,,
4/7/2019,BACA,2,0.031,,
4/7/2019,BACA,3,0.009,,
4/7/2019,BACA,4,0.226,,
4/7/2019,BACA,5,0.023,,
4/7/2019,BACA,6,0.087,,
4/7/2019,BIVA,1,0.097,,
4/7/2019,BIVA,2,0.033,,
4/7/2019,BIVA,3,0.102,,
4/7/2019,BIVA,4,0.143,,
4/7/2019,BIVA,5,0.11,,
4/7/2019,BIVA,6,0.095,,
4/7/2019,BOWA,1,0.103,,
4/7/2019,BOWA,2,0.358,,
4/7/2019,BOWA,3,0,,
4/7/2019,BOWA,4,0.111,,
4/7/2019,BOWA,5,0.117,,
4/7/2019,BOWA,6,0.094,,
4/7/2019,COFR,1,0.15,,
4/7/2019,COFR,2,0.004,,
4/7/2019,COFR,3,0.027,,
4/7/2019,COFR,4,0.062,,
4/7/2019,COFR,5,0.028,,
4/7/2019,DEMI,1,0.04,,
4/7/2019,DEMI,2,0.047,,
4/7/2019,DEMI,3,0.047,,
4/7/2019,DEMI,4,0.026,,
4/7/2019,DEMI,5,0,,
4/7/2019,DEMI,6,0.125,,
4/7/2019,JOMA,1,0.053,,
4/7/2019,JOMA,2,0.197,,
4/7/2019,JOMA,3,0.087,,
4/7/2019,JOMA,4,0.137,,
4/7/2019,JOMA,5,0.061,,
4/7/2019,JOMA,6,0.031,,
4/7/2019,PRCR,1,0.037,,
4/7/2019,PRCR,2,0.129,,
4/7/2019,PRCR,3,0,,
4/7/2019,PRCR,4,0.018,,
4/7/2019,PRCR,5,0.058,,
4/7/2019,PRCR,6,0.037,,
4/7/2019,RIST,1,0.008,,
4/7/2019,RIST,2,0.028,,
4/7/2019,RIST,3,0.019,,
4/7/2019,RIST,4,0.049,,
4/7/2019,RIST,5,0.023,,
4/7/2019,RIST,6,0.016,,
4/14/2019,AUCA,1,0.044,,
4/14/2019,AUCA,2,0.013,,
4/14/2019,AUCA,3,0.005,,
4/14/2019,AUCA,4,0.009,,
4/14/2019,AUCA,5,0.006,,
4/14/2019,AUCA,6,0.119,,
4/14/2019,BACA,1,0.01,,
4/14/2019,BACA,2,0.024,,
4/14/2019,BACA,3,0.009,,
4/14/2019,BACA,4,0.355,,
4/14/2019,BACA,5,0.011,contains poop that may not be frass,removed one piece; reweighed
4/14/2019,BACA,6,0.094,,
4/14/2019,BIVA,1,0.158,,
4/14/2019,BIVA,2,0.033,,
4/14/2019,BIVA,3,0.262,,
4/14/2019,BIVA,4,0.223,,
4/14/2019,BIVA,5,0.07,,
4/14/2019,BIVA,6,0.114,,
4/14/2019,BOWA,1,0.136,,
4/14/2019,BOWA,2,0.177,,
4/14/2019,BOWA,3,0.048,,
4/14/2019,BOWA,4,0.027,,
4/14/2019,BOWA,5,0.257,,
4/14/2019,BOWA,6,0.093,,
4/14/2019,COFR,1,0.101,,
4/14/2019,COFR,2,0.009,,
4/14/2019,COFR,3,0.052,,
4/14/2019,COFR,4,0.076,,
4/14/2019,COFR,5,0.127,,
4/14/2019,COFR,6,0,,
4/14/2019,DEMI,1,0.062,,
4/14/2019,DEMI,2,0.069,,
4/14/2019,DEMI,3,0.069,,
4/14/2019,DEMI,4,0.117,,
4/14/2019,DEMI,5,0.005,,
4/14/2019,DEMI,6,0.099,,
4/14/2019,JOMA,1,0.083,,
4/14/2019,JOMA,2,0.156,,
4/14/2019,JOMA,3,0.078,,
4/14/2019,JOMA,4,0.096,,
4/14/2019,JOMA,5,0.088,,
4/14/2019,JOMA,6,0.159,,
4/14/2019,PRCR,1,0.124,,
